IDX,DrawBridge_Handle,Cookie_Id
584860,handle_1190647,id_2149596
586450,handle_1157579,id_2152695
587390,handle_490981,id_2154467
588210,handle_1032413,id_2156170
591810,handle_1363028,id_2163142
593330,handle_1041163,id_2166105
593450,handle_1700116,id_2166345
593910,handle_2045018,id_2167260
596080,handle_1810338,id_2171509
603820,handle_511067,id_2186870
611060,handle_1760742,id_2201067
623770,handle_208553,id_22261
626370,handle_442673,id_2231136
629900,handle_757104,id_223812
635290,handle_535455,id_2248939
640110,handle_1564170,id_2258325
642830,handle_1504571,id_2263556
651350,-1,id_2280422
662100,handle_384918,id_2301446
666720,handle_1083889,id_2310659
667440,handle_1520714,id_2312089
667800,handle_655716,id_2312843
669250,handle_1583496,id_2315619
673280,handle_1025058,id_2323643
675500,handle_1960538,id_2328053
677030,handle_285342,id_2330995
682830,handle_850212,id_2342430
686170,handle_1213288,id_2348966
687500,handle_252891,id_2351574
691120,handle_1818626,id_2358754
699160,handle_776514,id_237466
703380,handle_1530890,id_2383047
703650,handle_239218,id_2383593
713280,handle_1739249,id_2402368
720000,handle_330603,id_2415503
720260,handle_132436,id_2416008
730300,handle_1713677,id_2435597
732130,handle_1158904,id_2439184
732770,handle_1200194,id_244042
733890,handle_74493,id_2442596
735810,handle_1634963,id_2446308
738040,handle_1920817,id_2450728
740940,handle_83281,id_245654
749030,handle_377002,id_2472677
749380,handle_1399177,id_2473386
751230,handle_896897,id_2477088
756780,handle_31897,id_2488008
757140,handle_337545,id_2488714
757960,handle_1495358,id_2490342
762020,handle_257578,id_2498318
766850,handle_578170,id_2507708
768180,handle_927975,id_251035
768960,-1,id_2511813
774200,handle_1375603,id_2521990
776930,handle_45617,id_2527216
779120,handle_1482839,id_2531667
781340,handle_821149,id_2535991
781380,handle_187725,id_2536078
782510,handle_893887,id_2538274
787680,handle_1818168,id_2548479
787780,handle_1576611,id_2548682
789320,handle_1595302,id_2551687
793330,handle_490759,id_2559628
793580,handle_859145,id_2560094
807500,handle_1014284,id_2587621
814830,handle_647029,id_2602115
818020,handle_1227713,id_2608290
823950,handle_2049741,id_2620008
825740,handle_535892,id_2623543
837750,handle_1949336,id_2647197
838110,handle_1246858,id_2647925
853930,handle_21066,id_2678968
856010,handle_1489272,id_2683064
856180,handle_720085,id_2683406
857060,handle_1448021,id_2685095
858240,handle_598104,id_2687423
858390,handle_1990849,id_2687744
863780,handle_586932,id_2698341
864020,handle_662346,id_2698844
866340,handle_1877054,id_270342
866800,handle_506761,id_2704381
875310,handle_347386,id_2721136
875640,handle_820565,id_2721823
878610,handle_1862565,id_2727708
883560,handle_420460,id_2737635
885380,handle_1595204,id_2741279
892380,handle_766642,id_2754999
894780,handle_723886,id_2759810
895810,handle_1370971,id_2761896
898200,handle_1094982,id_2766567
903200,handle_335686,id_2776115
908280,handle_50183,id_2785997
915670,handle_117091,id_2800448
922750,handle_1576613,id_2814682
925550,handle_204537,id_2820156
938470,handle_1513699,id_2845505
952160,handle_759895,id_2872802
959690,handle_828658,id_288747
976490,handle_892537,id_2920305
976910,handle_1500686,id_292114
978710,handle_2030059,id_2924661
986060,handle_620566,id_2939168
988340,handle_1487019,id_2943712
988930,handle_119492,id_294488
989470,handle_889433,id_2945855
991400,handle_1010097,id_2949771
992560,handle_1111302,id_295201
995300,handle_1555178,id_2957420
998690,handle_1815277,id_2964091
999920,handle_361385,id_2966569
999920,handle_57791,id_2966588
1004200,handle_1940509,id_297487
1006800,handle_2013997,id_297987
1007000,handle_635550,id_2980318
1008000,handle_1830715,id_2982379
1008900,handle_970784,id_298417
1010100,handle_1801421,id_2986524
1010800,handle_1827595,id_2987705
1017800,handle_2069996,id_3001804
1023900,handle_1166311,id_3013690
1028300,handle_1871932,id_3022375
1029100,handle_1219326,id_3023772
1053800,handle_1633720,id_3072645
1060900,-1,id_3086777
1065400,handle_673412,id_3095442
1065600,handle_1562500,id_3095862
1081200,handle_525779,id_3126344
1082200,handle_791899,id_3128280
1084900,handle_1904208,id_3133707
1088800,handle_1459575,id_3141258
1093600,handle_1174328,id_3150688
1094900,handle_658020,id_3153185
1095800,handle_1276108,id_3155012
1100600,handle_242040,id_3164372
1109100,handle_1590132,id_3181344
1113700,handle_633105,id_3190473
1116800,handle_1329969,id_3196774
1116900,handle_649154,id_3196839
1122600,handle_233436,id_320803
1124200,-1,id_3211363
1126800,handle_430235,id_3216286
1131700,handle_1530411,id_3225979
1139600,handle_1500646,id_3241560
1142900,handle_440153,id_3248156
1144400,handle_506083,id_3251204
1144700,handle_192524,id_3251783
1150400,handle_279471,id_3262794
1154600,handle_970466,id_3271189
1158400,handle_629879,id_3278660
1161700,handle_1713904,id_3285117
1163700,handle_2007771,id_3289012
1168700,handle_811385,id_3298979
1172700,handle_2042116,id_3306733
1175200,handle_522454,id_331167
1181200,handle_24203,id_3323385
1181300,handle_1698979,id_3323758
1181700,handle_843751,id_3324425
1183900,handle_1457963,id_3328609
1187400,handle_2095401,id_3335756
1189100,handle_210891,id_3339061
1196700,handle_138322,id_3354007
1199200,handle_1841212,id_3359018
1201400,handle_171091,id_3363472
1203700,handle_925199,id_3367936
1206100,handle_2069491,id_3372594
1210900,handle_1941608,id_3382069
1211000,handle_459884,id_3382328
1217600,handle_1739612,id_3395219
1222200,-1,id_3404230
1234500,handle_150065,id_3428533
1238500,handle_1491859,id_3436250
1239100,handle_1884827,id_3437256
1249300,handle_601101,id_3457675
1249600,handle_1132055,id_3458287
1250300,handle_1522613,id_3459694
1250800,handle_1732769,id_3460660
1251800,handle_1434367,id_3462660
1256400,handle_1587979,id_3471916
1260000,handle_1614951,id_3478996
1263100,handle_1129668,id_348510
1264300,handle_1458739,id_3487478
1264700,handle_50566,id_3488280
1271000,handle_1674280,id_3500794
1272600,handle_374008,id_3504083
1273300,handle_145359,id_3505343
1274800,handle_648365,id_3508514
1278400,handle_1967680,id_3515617
1281000,handle_2076762,id_3520671
1287400,handle_1424058,id_3533450
1288000,handle_911320,id_3534699
1291200,handle_992346,id_3540889
1291300,handle_679705,id_354104
1293100,handle_1666205,id_3544375
1298300,handle_1608678,id_3554784
1302500,handle_128528,id_3563081
1303000,handle_191400,id_3564020
1314500,handle_1241701,id_3586553
1314600,handle_466462,id_3586733
1314900,handle_92841,id_3587247
1322600,handle_1943793,id_3602362
1325400,handle_169516,id_3607875
1331900,handle_513615,id_3620690
1332100,handle_735442,id_3621060
1336600,handle_965739,id_3629996
1340300,handle_567648,id_36373
1343600,handle_589365,id_3643766
1350400,handle_704550,id_3657035
1350900,handle_1108393,id_365802
1351300,handle_1060297,id_3658775
1357100,handle_796552,id_36700
1360100,handle_2082370,id_3676032
1362300,handle_6272,id_3680277
1366800,handle_1021926,id_3689000
1367900,handle_1195536,id_3691106
1371700,handle_928839,id_3698803
1374700,handle_1263765,id_3704786
1379500,handle_1639095,id_3714061
1383400,handle_315395,id_3721866
1391500,handle_1094612,id_3737474
1392300,handle_1172289,id_3739118
1395400,handle_1616158,id_3745182
1395900,handle_831699,id_3746221
1407100,handle_1316193,id_3768135
1410300,handle_1746915,id_377449
1415400,handle_1175222,id_3784718
1420800,handle_726219,id_3794997
1427700,handle_898259,id_3808664
1432600,handle_1142387,id_3818168
1432900,handle_332840,id_3818846
1445300,handle_1664921,id_3843552
1449400,handle_1478456,id_3851438
1450400,handle_1455181,id_3853461
1451900,handle_1786154,id_3856425
1453000,handle_360017,id_3858729
1459500,handle_1911888,id_387156
1461300,handle_999862,id_3875161
1466700,handle_167535,id_3885741
1472400,handle_286548,id_3897047
1473900,handle_1761500,id_3899973
1482300,handle_1273086,id_3916272
1483400,handle_977214,id_391852
1487100,handle_1750962,id_3925811
1491100,handle_1036552,id_3933576
1492600,handle_464341,id_3936715
1493000,handle_1063268,id_3937299
1494200,-1,id_3939754
1494500,handle_1971618,id_3940209
1498700,-1,id_3948675
1503900,handle_1604790,id_395893
1504500,handle_1490187,id_396008
1506800,handle_1210445,id_3964520
1509700,handle_1715371,id_3970209
1512200,handle_115960,id_3975150
1526600,handle_1865850,id_4003319
1526700,handle_740909,id_4003530
1527800,handle_1241633,id_4005677
1533800,handle_1540474,id_401742
1537300,handle_1322467,id_4024164
1539800,handle_714103,id_4029125
1541300,handle_96349,id_4032138
1547200,handle_1131059,id_4043793
1548300,handle_2095031,id_4046065
1550400,handle_1419342,id_4050042
1550400,handle_815408,id_405011
1551100,handle_1207695,id_4051538
1559200,handle_1807565,id_4067397
1567500,handle_811075,id_4083844
1568400,handle_5240,id_4085667
1571900,handle_570299,id_4092408
1572200,handle_23805,id_4093044
1573300,handle_739455,id_4094999
1577200,handle_388461,id_4102580
1578000,handle_561408,id_4104093
1585800,handle_729944,id_411968
1596700,handle_1372185,id_4140895
1598600,handle_1669350,id_4144708
1600200,handle_1326098,id_4147843
1601400,handle_1994349,id_4150148
1601400,handle_1823360,id_4150208
1602300,handle_1613132,id_4151830
1606600,handle_613174,id_4160296
1609800,handle_240880,id_416665
1614500,handle_1453231,id_4175868
1619100,handle_589543,id_4184916
1622700,handle_527023,id_4192195
1623700,handle_1639062,id_4194185
1624600,handle_787152,id_4196038
1631900,handle_1832603,id_4210392
1642100,handle_713627,id_4230824
1646600,handle_1584866,id_4239798
1648500,handle_1916105,id_4243460
1653500,handle_521413,id_425326
1654400,handle_632904,id_4255106
1655400,-1,id_4257063
1656600,handle_1424521,id_425963
1657000,handle_780684,id_426045
1659600,handle_1504718,id_4265555
1663000,handle_1906468,id_4272300
1663800,handle_604445,id_4273855
1665700,handle_1786913,id_4277644
1675600,handle_124903,id_4296978
1676700,handle_467450,id_4299159
1678500,handle_1154714,id_4302823
1679200,handle_1304218,id_4304006
1682800,handle_1772777,id_4311192
1685900,handle_936983,id_4317147
1700600,handle_331681,id_4346442
1701300,handle_2038794,id_4347741
1702600,handle_976439,id_4350295
1702800,handle_234024,id_4350585
1704100,handle_2062368,id_4352988
1705000,handle_1751190,id_435475
1705200,handle_426745,id_435516
1708200,handle_134488,id_4360998
1711800,handle_243351,id_4368132
1712700,handle_1690951,id_4369874
1717300,handle_40380,id_4378979
1721300,handle_998266,id_4386920
1723100,handle_1557848,id_439034
1723700,handle_250430,id_4391583
1727100,handle_1668848,id_4398169
1728400,handle_1894985,id_4400689
1731800,handle_1865189,id_4407399
1732800,handle_1262599,id_4409489
1735400,handle_1706847,id_4414411
1741200,handle_950618,id_4425819
1743000,handle_468349,id_4429365
1744900,handle_580034,id_4433029
1746700,handle_1070981,id_4436459
1752600,handle_1967411,id_444814
1754500,handle_321912,id_4451934
1760900,handle_555525,id_4464510
1762700,handle_1887659,id_4468248
1765900,-1,id_4474485
1769400,handle_1785928,id_4481462
1774700,handle_498416,id_4491682
1780900,handle_221908,id_4503865
1782800,handle_767994,id_4507709
1789000,handle_706410,id_4519781
1790500,handle_1775615,id_4522683
1791300,handle_399267,id_4524258
1792400,handle_1868879,id_4526455
1794800,handle_37591,id_4531315
1798100,-1,id_4537574
1800000,handle_482954,id_4541331
1804200,handle_144949,id_4549680
1814400,handle_357659,id_456981
1816500,handle_1094952,id_457399
1823200,handle_425199,id_4587209
1826100,handle_1672534,id_4592805
1826700,handle_562708,id_4594053
1828600,handle_682268,id_4597761
1829100,handle_586575,id_4598707
1831800,handle_119195,id_4603849
1832900,handle_1743454,id_4605900
1845600,handle_643425,id_463089
1845700,handle_1704277,id_4631060
1849800,handle_206250,id_4638999
1860800,handle_1682609,id_4660243
1865000,handle_863758,id_4668629
1867300,handle_1469180,id_4673203
1872500,handle_568498,id_4683485
1875500,handle_266748,id_4689394
1877700,handle_1073523,id_469375
1880100,handle_537393,id_4698431
1885200,handle_1637966,id_4708233
1885200,handle_38615,id_4708279
1886100,handle_327622,id_4710046
1888200,handle_850606,id_4714093
1890400,handle_479376,id_4718396
1899900,handle_439226,id_4737193
1901200,handle_1989479,id_4739685
1903600,handle_729297,id_4744379
1910900,handle_1366446,id_479988
1911400,handle_856367,id_480884
1912100,handle_922419,id_482445
1912300,handle_660603,id_482697
1912500,handle_1286512,id_483246
1923600,handle_1765956,id_504899
1930400,handle_1498942,id_518543
1937900,handle_1614074,id_533233
1939400,handle_406731,id_536203
1941900,handle_1146722,id_541073
1942800,handle_1930441,id_54285
1944300,handle_2082533,id_545776
1950700,handle_1845373,id_558314
1953400,handle_1536205,id_563613
1956300,handle_399486,id_56914
1957600,handle_317996,id_57176
1958500,handle_626681,id_573730
1960900,handle_74387,id_578292
1961900,-1,id_580312
1964500,handle_561817,id_585397
1972800,handle_218520,id_601966
1973000,handle_677044,id_602323
1976700,handle_1752588,id_609383
1983500,handle_1293894,id_622861
1987000,handle_516382,id_629735
1987100,handle_971577,id_629915
1988200,handle_1079696,id_631894
1994000,handle_2026804,id_643560
1998400,handle_608660,id_652100
2004200,handle_539201,id_663527
2004500,handle_1049358,id_664020
2018500,-1,id_691522
2020500,handle_1160492,id_695606
2022700,handle_1612496,id_699889
2023500,handle_1951571,id_701378
2028200,handle_2090309,id_710834
2031000,handle_852912,id_716381
2038300,handle_1459386,id_730769
2038500,handle_159844,id_73116
2039400,handle_1087921,id_732916
2039800,handle_122277,id_733823
2040200,handle_1550768,id_734440
2043200,handle_1859500,id_740316
2043700,handle_1679151,id_741379
2046300,handle_119394,id_746493
2046800,handle_1927008,id_747456
2049100,handle_1853978,id_751974
2051900,handle_1571514,id_757478
2052700,handle_1558186,id_759104
2055000,handle_627681,id_763463
2056400,handle_1212365,id_766192
2065000,handle_317144,id_782853
2066400,handle_1740831,id_785676
2067000,handle_642127,id_786902
2067800,handle_1773159,id_788471
2072300,handle_1575059,id_797380
2077900,handle_1127889,id_808362
2083700,handle_1691517,id_819755
2084500,handle_1571123,id_821449
2086900,handle_2055552,id_826139
2092000,handle_1770802,id_836152
2098200,handle_2014352,id_848179
2099700,handle_2038552,id_85107
2101400,handle_600047,id_854397
2111000,handle_535952,id_87347
2129500,handle_577348,id_909710
2131600,handle_363775,id_913874
2141300,handle_2084513,id_932907
2143800,handle_738734,id_937805
2149800,handle_980598,id_94967
2150700,handle_1638428,id_951277
2155300,handle_1183249,id_960404
2157200,handle_18650,id_964101
2158200,handle_170929,id_965966
2160100,handle_1674221,id_969773
2160900,handle_1086724,id_971245
