,id_dict_key,dev_or_cook_indic,ip,freq_count,idxcip_c1,idxcip_c2,idxcip_c3,idxcip_c4,idxcip_c5,index,drawbridge_handle
65,id_3885741,1,['ip864037'],['1'],['0'],['1'],['1'],['0'],['1'],1466700,handle_167535
66,id_2737635,1,['ip8324653'],['1'],['0'],['1'],['1'],['0'],['1'],883560,handle_420460
67,id_4522683,1,"['ip16160811', 'ip8266124', 'ip20008993', 'ip10809484', 'ip903652', 'ip8978239', 'ip16509006']","['1', '1', '1', '1', '1', '1', '93']","['0', '0', '1', '0', '0', '0', '10']","['1', '0', '1', '0', '1', '0', '60']","['1', '1', '1', '1', '2', '1', '24']","['0', '0', '1', '0', '0', '0', '6']","['1', '0', '1', '0', '1', '0', '13']",1790500,handle_1775615
68,id_2683406,1,['ip8423304'],['1'],['0'],['1'],['1'],['0'],['1'],856180,handle_720085
69,id_3629996,1,['ip13223611'],['1'],['0'],['1'],['1'],['0'],['1'],1336600,handle_965739
70,id_4150208,1,['ip18222327'],['1'],['0'],['1'],['3'],['0'],['1'],1601400,handle_1823360
71,id_3457675,1,['ip7049400'],['1'],['0'],['1'],['1'],['0'],['1'],1249300,handle_601101
72,id_1238085,1,['ip17043027'],['1'],['0'],['1'],['2'],['0'],['1'],121340,handle_205734
73,id_1540774,1,['ip13963570'],['1'],['0'],['0'],['1'],['0'],['0'],275140,handle_395612
74,id_3155012,1,['ip5310088'],['1'],['0'],['0'],['1'],['0'],['0'],1095800,handle_1276108
75,id_2003310,1,['ip5294700'],['1'],['0'],['0'],['1'],['0'],['0'],510310,handle_583621
76,id_3843552,1,['ip7502011'],['1'],['0'],['1'],['1'],['0'],['1'],1445300,handle_1664921
77,id_788471,1,['ip4409630'],['1'],['0'],['1'],['1'],['0'],['1'],2067800,handle_1773159
78,id_629915,1,['ip12141986'],['2'],['0'],['2'],['1'],['0'],['1'],1987100,handle_971577
79,id_1869363,1,['ip16934199'],['1'],['0'],['1'],['1'],['0'],['1'],442110,handle_1655530
80,id_4378979,1,['ip17637721'],['2'],['0'],['2'],['2'],['0'],['1'],1717300,handle_40380
81,id_4265555,1,['ip10926871'],['1'],['0'],['1'],['1'],['0'],['1'],1659600,handle_1504718
82,id_4398169,1,['ip551830'],['1'],['0'],['1'],['1'],['0'],['1'],1727100,handle_1668848
83,id_2647197,1,['ip9031354'],['1'],['0'],['1'],['1'],['0'],['1'],837750,handle_1949336
84,id_3001804,1,"['ip1673308', 'ip5272491']","['6', '2']","['0', '0']","['6', '2']","['1', '1']","['0', '0']","['1', '1']",1017800,handle_2069996
85,id_4210392,1,"['ip3814533', 'ip5447755']","['1', '1']","['0', '0']","['1', '1']","['1', '1']","['0', '0']","['1', '1']",1631900,handle_1832603
86,id_3285117,1,['ip17524520'],['1'],['0'],['1'],['1'],['0'],['1'],1161700,handle_1713904
87,id_2939168,1,"['ip11456726', 'ip17048923']","['1', '1']","['0', '0']","['0', '0']","['1', '1']","['0', '0']","['0', '0']",986060,handle_620566
88,id_2982379,1,['ip14772497'],['1'],['0'],['1'],['1'],['0'],['1'],1008000,handle_1830715
89,id_1098190,1,['ip1563065'],['1'],['0'],['1'],['1'],['0'],['1'],49917,handle_12611
90,id_4150148,1,['ip15353585'],['1'],['0'],['1'],['1'],['0'],['1'],1601400,handle_1994349
91,id_741379,1,['ip10467443'],['1'],['0'],['1'],['1'],['0'],['1'],2043700,handle_1679151
92,id_3970209,1,['ip16318619'],['1'],['0'],['1'],['3'],['1'],['1'],1509700,handle_1715371
93,id_2943712,1,['ip18801863'],['1'],['0'],['1'],['1'],['0'],['1'],988340,handle_1487019
94,id_1862923,1,['ip520094'],['1'],['0'],['1'],['1'],['0'],['1'],438800,handle_922559
95,id_2477088,1,['ip1894388'],['1'],['0'],['1'],['1'],['0'],['1'],751230,handle_896897
96,id_2442596,1,['ip3599815'],['1'],['0'],['1'],['1'],['0'],['1'],733890,handle_74493
97,id_4524258,1,['ip17404610'],['1'],['0'],['1'],['1'],['0'],['1'],1791300,handle_399267
98,id_1187561,1,['ip8830602'],['3'],['0'],['3'],['1'],['0'],['1'],95558,handle_760235
99,id_288747,1,['ip14975535'],['1'],['0'],['1'],['1'],['0'],['1'],959690,handle_828658
100,id_1161546,1,['ip16624147'],['5'],['0'],['5'],['1'],['0'],['1'],82196,handle_741776
101,id_3428533,1,['ip9547223'],['1'],['0'],['1'],['1'],['0'],['1'],1234500,handle_150065
102,id_3916272,1,['ip1116976'],['1'],['0'],['1'],['1'],['0'],['1'],1482300,handle_1273086
103,id_3500794,1,['ip8047153'],['1'],['0'],['1'],['1'],['0'],['1'],1271000,handle_1674280
104,id_578292,1,['ip18526763'],['1'],['0'],['1'],['1'],['0'],['1'],1960900,handle_74387
105,id_2966569,1,['ip6628523'],['1'],['0'],['0'],['1'],['0'],['0'],999920,handle_361385
106,id_120993,1,['ip9758816'],['1'],['0'],['1'],['1'],['1'],['1'],106970,handle_511612
107,id_4102580,1,['ip17315665'],['1'],['0'],['1'],['1'],['0'],['1'],1577200,handle_388461
108,id_2527216,1,['ip8544390'],['1'],['0'],['1'],['1'],['0'],['1'],776930,handle_45617
109,id_691522,1,['ip20951212'],['1'],['1'],['0'],['1'],['1'],['0'],2018500,-1
110,id_4160296,1,['ip8026241'],['1'],['0'],['0'],['1'],['0'],['0'],1606600,handle_613174
111,id_425326,1,"['ip5006545', 'ip9684366']","['1', '1']","['0', '0']","['0', '0']","['1', '1']","['0', '0']","['0', '0']",1653500,handle_521413
112,id_2351574,1,['ip3384927'],['9'],['0'],['9'],['1'],['0'],['1'],687500,handle_252891
113,id_2137917,1,['ip17268735'],['1'],['0'],['1'],['1'],['0'],['1'],578860,handle_1145736
114,id_435516,1,['ip13090186'],['1'],['0'],['0'],['1'],['0'],['0'],1705200,handle_426745
115,id_4350585,1,['ip10558551'],['1'],['0'],['1'],['1'],['0'],['1'],1702800,handle_234024
116,id_2312089,1,['ip17524520'],['2'],['0'],['2'],['1'],['0'],['1'],667440,handle_1520714
117,id_4598707,1,"['ip10894518', 'ip107115']","['1', '1']","['0', '0']","['0', '0']","['1', '1']","['0', '0']","['0', '0']",1829100,handle_586575
118,id_4277644,1,['ip2167388'],['1'],['0'],['1'],['1'],['0'],['1'],1665700,handle_1786913
119,id_2077042,1,['ip8785189'],['1'],['0'],['1'],['1'],['0'],['1'],547720,handle_594370
120,id_1589605,1,"['ip11945107', 'ip3809591', 'ip12638713', 'ip14198473', 'ip8133408', 'ip420451', 'ip8315451', 'ip20884495', 'ip11606558', 'ip6194943', 'ip17184896', 'ip598719', 'ip16908560', 'ip4993835', 'ip13486038']","['35', '7', '1', '1', '4', '2', '3', '1', '12', '1', '1', '1', '2', '1', '1']","['12', '0', '0', '0', '0', '0', '0', '0', '10', '0', '0', '0', '0', '0', '0']","['4', '1', '1', '0', '4', '2', '2', '1', '5', '1', '0', '1', '0', '0', '0']","['8', '2', '1', '1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '1', '1']","['2', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0']","['3', '1', '1', '0', '1', '1', '1', '1', '2', '1', '0', '1', '0', '0', '0']",299820,handle_1901914
121,id_2050305,1,['ip18994786'],['1'],['0'],['1'],['1'],['0'],['1'],534160,handle_1169058
122,id_4660243,1,['ip19319741'],['1'],['0'],['1'],['1'],['1'],['1'],1860800,handle_1682609
123,id_2490342,1,['ip13287668'],['1'],['0'],['0'],['3'],['1'],['0'],757960,handle_1495358
124,id_2166105,1,['ip20979363'],['3'],['1'],['3'],['2'],['1'],['2'],593330,handle_1041163
125,id_1797611,1,['ip3073401'],['1'],['0'],['0'],['1'],['0'],['0'],405640,handle_95861
126,id_4537574,1,"['ip15657204', 'ip728592', 'ip15425015', 'ip832751', 'ip4088427', 'ip15694551', 'ip20708742']","['5', '1', '1', '2', '2', '3', '3']","['5', '1', '0', '0', '2', '0', '0']","['5', '0', '0', '2', '2', '3', '3']","['1', '1', '1', '1', '1', '1', '1']","['1', '1', '0', '0', '1', '0', '0']","['1', '0', '0', '1', '1', '1', '1']",1798100,-1
127,id_1871733,1,['ip2540188'],['1'],['0'],['1'],['1'],['0'],['1'],443330,handle_804240
128,id_3784718,1,['ip2680764'],['1'],['0'],['1'],['1'],['0'],['1'],1415400,handle_1175222
129,id_4503865,1,['ip4222662'],['2'],['0'],['2'],['1'],['0'],['1'],1780900,handle_221908
130,id_826139,1,"['ip6020653', 'ip12866579']","['1', '1']","['0', '0']","['0', '1']","['1', '1']","['0', '0']","['0', '1']",2086900,handle_2055552
131,id_909710,1,['ip9492114'],['1'],['0'],['1'],['1'],['0'],['1'],2129500,handle_577348
132,id_3271189,1,['ip4372258'],['1'],['0'],['1'],['1'],['1'],['1'],1154600,handle_970466
133,id_354104,1,['ip2860993'],['1'],['0'],['1'],['1'],['0'],['1'],1291300,handle_679705
134,id_4029125,1,"['ip3578371', 'ip18365679', 'ip19033955', 'ip9448125']","['1', '2', '1', '1']","['0', '0', '0', '0']","['1', '2', '0', '1']","['1', '1', '1', '1']","['0', '0', '0', '0']","['1', '1', '0', '1']",1539800,handle_714103
135,id_1584798,1,['ip699685'],['1'],['0'],['0'],['1'],['0'],['0'],297350,handle_865013
136,id_3436250,1,['ip891926'],['2'],['0'],['2'],['1'],['0'],['1'],1238500,handle_1491859
137,id_4714093,1,['ip16837025'],['1'],['0'],['1'],['1'],['0'],['1'],1888200,handle_850606
138,id_4273855,1,['ip873304'],['1'],['0'],['1'],['1'],['0'],['1'],1663800,handle_604445
139,id_1916678,1,['ip5105401'],['1'],['0'],['0'],['1'],['0'],['0'],466210,handle_113789
140,id_4597761,1,"['ip10595713', 'ip3890715']","['11', '8']","['11', '8']","['7', '8']","['2', '1']","['2', '1']","['2', '1']",1828600,handle_682268
141,id_1933748,1,['ip12040957'],['1'],['0'],['1'],['1'],['0'],['1'],474930,handle_1042195
142,id_3359018,1,"['ip11048777', 'ip14232272', 'ip6785898', 'ip4012214', 'ip4338469', 'ip13826902', 'ip9860212', 'ip13499975', 'ip12496842', 'ip15308906', 'ip5019726', 'ip8725203']","['1', '1', '1', '1', '1', '1', '1', '1', '1', '3', '3', '1']","['0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['0', '0', '1', '1', '0', '0', '1', '0', '1', '0', '3', '1']","['1', '1', '1', '1', '1', '2', '1', '1', '1', '1', '1', '1']","['0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0']","['0', '0', '1', '1', '0', '0', '1', '0', '1', '0', '1', '1']",1199200,handle_1841212
143,id_1091521,1,['ip9378858'],['1'],['0'],['0'],['1'],['0'],['0'],46597,handle_537246
144,id_1513598,1,['ip1179127'],['1'],['0'],['0'],['1'],['0'],['0'],261400,handle_150385
145,id_1311005,1,['ip12141986'],['1'],['0'],['1'],['1'],['0'],['1'],158480,handle_1398433
146,id_1029064,1,['ip17277347'],['1'],['0'],['1'],['1'],['0'],['1'],14838,handle_1955280
147,id_2113238,1,['ip3826869'],['2'],['0'],['2'],['1'],['0'],['1'],566140,handle_1200369
148,id_2113239,1,['ip2265493'],['1'],['0'],['1'],['1'],['0'],['1'],566140,handle_1123622
149,id_1482119,1,['ip4442363'],['5'],['0'],['5'],['1'],['0'],['1'],245320,handle_1670022
150,id_1764954,1,"['ip4415884', 'ip20123748']","['17', '1']","['0', '0']","['17', '1']","['1', '1']","['0', '0']","['1', '1']",388870,handle_786410
151,id_3126344,1,['ip8145741'],['3'],['0'],['0'],['1'],['0'],['0'],1081200,handle_525779
152,id_4311192,1,['ip19418335'],['1'],['0'],['0'],['1'],['1'],['0'],1682800,handle_1772777
153,id_2013479,1,['ip19115460'],['15'],['0'],['15'],['1'],['1'],['1'],515480,handle_1269601
154,id_2945855,1,['ip3631908'],['3'],['0'],['3'],['1'],['0'],['1'],989470,handle_889433
155,id_4451934,1,['ip8458447'],['1'],['0'],['1'],['1'],['0'],['1'],1754500,handle_321912
156,id_740316,1,['ip19106708'],['1'],['0'],['1'],['1'],['0'],['1'],2043200,handle_1859500
157,id_1892695,1,['ip18024961'],['9'],['0'],['7'],['2'],['1'],['1'],453880,handle_1986699
158,id_533233,1,['ip7232870'],['1'],['0'],['1'],['1'],['0'],['1'],1937900,handle_1614074
159,id_298417,1,['ip4091003'],['1'],['0'],['1'],['1'],['0'],['1'],1008900,handle_970784
160,id_951277,1,['ip17088907'],['1'],['0'],['1'],['2'],['0'],['1'],2150700,handle_1638428
161,id_536203,1,"['ip19518034', 'ip3737912', 'ip20016136']","['3', '2', '6']","['0', '2', '0']","['3', '2', '6']","['2', '1', '1']","['0', '1', '0']","['2', '1', '1']",1939400,handle_406731
162,id_2872802,1,['ip8335795'],['1'],['0'],['1'],['1'],['0'],['1'],952160,handle_759895
163,id_3335756,1,['ip10833447'],['5'],['0'],['5'],['2'],['0'],['2'],1187400,handle_2095401
164,id_1065284,1,['ip3522360'],['2'],['0'],['2'],['2'],['0'],['2'],33220,handle_438936
165,id_3939754,1,"['ip5658479', 'ip2934728', 'ip7129920', 'ip9954179', 'ip17427810', 'ip19373604', 'ip7378833', 'ip6470717', 'ip609266', 'ip12935769', 'ip11153725', 'ip14801715', 'ip20461502', 'ip11150928', 'ip6046840', 'ip9865096', 'ip10911067', 'ip7066614', 'ip12042820', 'ip6580315']","['1', '1', '4', '7', '4', '3', '9', '4', '5', '5', '4', '1', '2', '4', '2', '1', '1', '4', '2', '7']","['1', '0', '4', '0', '0', '0', '2', '0', '5', '5', '4', '0', '0', '4', '0', '0', '0', '0', '0', '7']","['1', '1', '4', '6', '0', '3', '3', '4', '0', '5', '4', '1', '2', '4', '2', '0', '1', '4', '2', '7']","['1', '1', '1', '3', '2', '2', '7', '1', '2', '1', '2', '1', '1', '3', '1', '1', '1', '2', '1', '5']","['1', '0', '1', '1', '0', '0', '2', '0', '2', '1', '2', '0', '0', '2', '0', '0', '0', '0', '0', '2']","['1', '1', '1', '3', '0', '2', '3', '1', '0', '1', '2', '1', '1', '1', '1', '0', '1', '1', '1', '2']",1494200,-1
166,id_426045,1,"['ip17881544', 'ip18230629', 'ip7001705']","['6', '72', '4']","['0', '20', '3']","['3', '37', '4']","['3', '30', '2']","['0', '9', '1']","['2', '20', '2']",1657000,handle_780684
167,id_602323,1,['ip3331444'],['2'],['0'],['2'],['1'],['0'],['1'],1973000,handle_677044
168,id_4368132,1,['ip19998818'],['1'],['0'],['0'],['1'],['0'],['0'],1711800,handle_243351
169,id_913874,1,['ip14420107'],['1'],['0'],['1'],['1'],['0'],['1'],2131600,handle_363775
170,id_3150688,1,['ip10869473'],['1'],['0'],['1'],['3'],['0'],['1'],1093600,handle_1174328
171,id_3540889,1,['ip3505520'],['1'],['0'],['1'],['1'],['0'],['1'],1291200,handle_992346
172,id_4519781,1,"['ip9879813', 'ip2798205']","['1', '1']","['0', '0']","['1', '0']","['1', '1']","['0', '0']","['1', '0']",1789000,handle_706410
173,id_2156170,1,['ip4751447'],['1'],['0'],['0'],['1'],['0'],['0'],588210,handle_1032413
174,id_2507708,1,['ip14532007'],['6'],['0'],['6'],['1'],['0'],['1'],766850,handle_578170
175,id_663527,1,['ip10067113'],['8'],['0'],['8'],['2'],['0'],['2'],2004200,handle_539201
176,id_3211363,1,"['ip9293672', 'ip7223854', 'ip16369397', 'ip19112250', 'ip11767614', 'ip13572610', 'ip17025786', 'ip5139425', 'ip15587253']","['12', '22', '9', '3', '1', '1', '12', '6', '1']","['12', '6', '0', '0', '0', '0', '2', '0', '1']","['10', '6', '9', '3', '1', '1', '2', '6', '1']","['1', '10', '2', '1', '1', '1', '3', '1', '1']","['1', '4', '0', '0', '0', '0', '1', '0', '1']","['1', '3', '2', '1', '1', '1', '1', '1', '1']",1124200,-1
177,id_652100,1,['ip9526345'],['1'],['0'],['0'],['1'],['0'],['0'],1998400,handle_608660
178,id_3164372,1,['ip12866579'],['1'],['0'],['1'],['1'],['0'],['1'],1100600,handle_242040
179,id_2814682,1,['ip11591806'],['1'],['0'],['1'],['1'],['0'],['1'],922750,handle_1576613
180,id_1914355,1,['ip2479824'],['1'],['0'],['0'],['1'],['0'],['0'],465010,handle_772677
181,id_1578784,1,['ip11763383'],['2'],['0'],['2'],['1'],['0'],['1'],294310,handle_660136
182,id_969773,1,['ip13593011'],['1'],['0'],['1'],['1'],['0'],['1'],2160100,handle_1674221
183,id_4710046,1,['ip2655095'],['1'],['0'],['1'],['1'],['0'],['1'],1886100,handle_327622
184,id_1678808,1,['ip12074884'],['1'],['0'],['1'],['1'],['0'],['1'],345180,handle_1137753
185,id_4481462,1,['ip17055367'],['1'],['0'],['0'],['1'],['0'],['0'],1769400,handle_1785928
186,id_4360998,1,['ip14118188'],['1'],['0'],['0'],['1'],['0'],['0'],1708200,handle_134488
187,id_482445,1,"['ip3579316', 'ip10480181']","['1', '1']","['0', '0']","['1', '1']","['1', '1']","['0', '0']","['1', '1']",1912100,handle_922419
188,id_391852,1,['ip7461152'],['6'],['0'],['6'],['1'],['0'],['1'],1483400,handle_977214
189,id_1278264,1,['ip4207369'],['2'],['0'],['2'],['1'],['0'],['1'],141830,handle_1292839
190,id_3520671,1,['ip11991'],['1'],['0'],['1'],['1'],['1'],['1'],1281000,handle_2076762
191,id_4257063,1,"['ip14339062', 'ip16790905', 'ip9989481', 'ip5220051', 'ip20398300', 'ip704053', 'ip5060477', 'ip4632191', 'ip6974516', 'ip21003065', 'ip13593106', 'ip16662592', 'ip5973627', 'ip13766540', 'ip11980413', 'ip11591277', 'ip8021123', 'ip1947614', 'ip18715608', 'ip20111819', 'ip14618526']","['3', '8', '1', '4', '19', '5', '2', '1', '6', '1', '1', '5', '1', '2', '2', '4', '5', '2', '1', '2', '2']","['0', '0', '0', '4', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '3', '4', '1', '0', '2', '0']","['0', '8', '1', '0', '12', '3', '0', '1', '0', '1', '1', '4', '1', '2', '0', '3', '4', '1', '0', '0', '2']","['1', '1', '1', '1', '2', '2', '2', '1', '1', '1', '1', '3', '1', '2', '1', '4', '2', '2', '1', '1', '1']","['0', '0', '1', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '1', '1', '0', '1', '1']","['0', '1', '1', '0', '1', '1', '0', '1', '0', '1', '1', '2', '1', '1', '0', '1', '1', '1', '0', '0', '1']",1655400,-1
192,id_4386920,1,['ip11931376'],['1'],['0'],['1'],['1'],['0'],['1'],1721300,handle_998266
193,id_3478996,1,['ip6416186'],['7'],['0'],['7'],['1'],['0'],['1'],1260000,handle_1614951
194,id_2727708,1,['ip9141740'],['2'],['0'],['0'],['1'],['0'],['0'],878610,handle_1862565
195,id_2766567,1,['ip10575526'],['3'],['0'],['0'],['1'],['0'],['0'],898200,handle_1094982
196,id_4744379,1,['ip3120549'],['1'],['0'],['0'],['1'],['0'],['0'],1903600,handle_729297
197,id_3251783,1,['ip32777'],['1'],['0'],['1'],['1'],['0'],['1'],1144700,handle_192524
198,id_158777,1,['ip571763'],['16'],['0'],['2'],['5'],['0'],['1'],298840,-1
199,id_87347,1,['ip7069681'],['9'],['0'],['9'],['1'],['0'],['1'],2111000,handle_535952
200,id_132239,1,['ip1889545'],['1'],['0'],['0'],['3'],['0'],['0'],164150,handle_916889
201,id_751974,1,['ip21021288'],['3'],['0'],['0'],['1'],['0'],['0'],2049100,handle_1853978
202,id_746493,1,['ip5380944'],['2'],['0'],['2'],['1'],['0'],['1'],2046300,handle_119394
203,id_2488008,1,['ip16793859'],['1'],['0'],['1'],['1'],['0'],['1'],756780,handle_31897
204,id_2678968,1,"['ip12292254', 'ip3131341']","['2', '25']","['0', '0']","['2', '25']","['1', '2']","['0', '0']","['1', '2']",853930,handle_21066
205,id_1410653,1,['ip19280807'],['1'],['0'],['1'],['1'],['0'],['1'],209150,handle_153595
206,id_405011,1,['ip2150334'],['1'],['0'],['1'],['1'],['0'],['1'],1550400,handle_815408
207,id_1095469,1,['ip19614690'],['3'],['0'],['3'],['1'],['1'],['1'],48552,handle_707164
